symbol,name,currency,summary,category_group,category,exchange,mic
1BPZ.Z,ST.EU.600 I.N.AX LR.PR EO,,The ST.EU.600 I.N.AX LR.PR EO index tracks the performance of companies within the insurance sector in Europe. It's part of the STOXX Europe 600 index family and follows a price return methodology. The index is denominated in EUR.,Financials,Financials,ZRH,XSWX
1I5A.Z,IS.SAN GR DE.2.85 PR EO,,,,,ZRH,XSWX
1J6A.Z,IST.IN.LE. -1X JPM NR DL,,,Derivatives,Derivatives,ZRH,XSWX
1MZB.DE,DAX DIVIDEND POINTS EUR,EUR,The DAX Dividend Points EUR index reflects the cumulative dividend payments of the DAX index constituents. It is expressed in points and calculated in EUR. The index provides insight into the dividend income generated by the DAX.,Equities,Financials,GER,XETR
1NGL.DE,DAXPL.MAXIM.DIVI.TR EUR,EUR,"The DAXplus Maximum Dividend TR EUR Index tracks the performance of a selection of DAX stocks with high dividend yields. It follows a total return methodology, reinvesting dividends to maximize returns. The index is calculated and quoted in EUR.",Equities,Financials,GER,XETR
1NGX.DE,DAXPL.MAXIM.DIVI.PR EUR,EUR,"The DAXplus Maximum Dividend PR EUR Index tracks the performance of a selection of DAX stocks with high dividend yields. It follows a price return methodology, reflecting only the price changes of the constituent stocks. The index is calculated and quoted in EUR.",Equities,Financials,GER,XETR
1OE0.Z,ST.EU.600 I.N.AX LR.NR EO,,The ST.EU.600 I.N.AX LR.NR EO index tracks the performance of companies within the insurance sector in Europe. It's part of the STOXX Europe 600 index family and follows a net return methodology. The index is denominated in EUR.,Financials,Financials,ZRH,XSWX
1OE2.Z,STX EU.TM CO.PR.+SE.GR DL,,"The STX EU.TM CO.PR.+SE.GR DL index tracks the performance of companies within the travel and leisure sector in Europe. It includes companies involved in various segments like hotels, airlines, and entertainment. The index follows a gross return methodology and is denominated in EUR.",Consumer Discretionary,Consumer Discretionary,ZRH,XSWX
1OE3.Z,STX CAN.240 IND.C.S.PR EO,,The STX CAN.240 IND.C.S.PR EO index tracks the performance of 240 Canadian companies within the industrial goods and services sector. The index uses a price return methodology and is denominated in EUR. It aims to represent the leading Canadian industrial companies.,Industrials,Industrials,ZRH,XSWX
1OE4.Z,ESTX CO.PRO.+SE.NR DL,,The ESTX CO.PRO.+SE.NR DL index tracks the performance of companies focused on component production and services. The index is a net return index and is denominated in EUR. The index is designed to represent leading companies in that sector.,Industrials,Industrials,ZRH,XSWX
1OE6.Z,ST.EU.600 IN.N.AX V.GR EO,,The ST.EU.600 IN.N.AX V.GR EO index tracks the performance of companies within the insurance sector in Europe. It's part of the STOXX Europe 600 index family and follows a gross return methodology. The index is denominated in EUR.,Financials,Financials,ZRH,XSWX
1OE9.Z,STX A/P 600 PCD+GS.NR EO,,"The STX A/P 600 PCD+GS.NR EO index tracks the performance of companies within the personal care, drug, and grocery stores sectors in the Asia/Pacific region. The index uses a net return methodology and is denominated in EUR. It aims to represent the leading companies in those sectors in Asia/Pacific.",Consumer Staples,Consumer Staples,ZRH,XSWX
1OEA.Z,STXE 600 OP.CO.P.+S.PR EO,,The STXE 600 OP.CO.P.+S.PR EO index tracks the performance of companies within the oil & gas producers sector in Europe. The index uses a price return methodology and is denominated in EUR. The index is designed to represent leading companies in that sector.,Energy,Energy,ZRH,XSWX
1OEC.Z,ST.US.500 IN.N.AX S.PR DL,,The ST.US.500 IN.N.AX S.PR DL index tracks the performance of companies within the insurance sector in the United States. It's part of the STOXX US 500 index family and follows a price return methodology. The index is denominated in EUR.,Financials,Financials,ZRH,XSWX
1OED.Z,STX GL.1800 IN.RE.E.NR DL,,"The STX GL.1800 IN.RE.E.NR DL index tracks the performance of companies within the industrial real estate sector globally, selected from the STOXX Global 1800 index. It uses a net return methodology and is denominated in EUR. The index aims to represent the leading industrial real estate companies globally.",Real Estate,REITs,ZRH,XSWX
1OEE.Z,STXE 600 EX UK CO.P.+S.PR,,,Equities,Equities,ZRH,XSWX
1OEJ.Z,STX GL.1800 E.E.PCD+GS.,,,Equities,Equities,ZRH,XSWX
1OEK.Z,STXE 600 IND.CO.DI.PR DL,,The STXE 600 IND.CO.DI.PR DL index tracks the performance of companies within the industrial goods and services sector in Europe. It's part of the STOXX Europe 600 index family and follows a price return methodology. The index is denominated in EUR.,Industrials,Industrials,ZRH,XSWX
1OEQ.Z,STX GL.1800 IND.ENE.PR EO,,The STX GL.1800 IND.ENE.PR EO index tracks the performance of companies within the industrial engineering sector globally. The index uses a price return methodology and is denominated in EUR. The index aims to represent the leading industrial engineering companies globally.,Industrials,Industrials,ZRH,XSWX
1OER.Z,STX EA.E.300 C.P.+S.NR DL,,"The STX EA.E.300 C.P.+S.NR DL index tracks the performance of companies focused on component production and services within the Eurozone, selected from the STOXX Euro Area 300 index. The index is a net return index and is denominated in EUR. The index is designed to represent leading companies in that sector.",Industrials,Industrials,ZRH,XSWX
1OES.Z,ESTX IN.RE.ES.NR DL,,The ESTX IN.RE.ES.NR DL index tracks the performance of companies within the industrial real estate sector within the Eurozone. It uses a net return methodology and is denominated in EUR. The index aims to represent the leading industrial real estate companies within the Eurozone.,Real Estate,REITs,ZRH,XSWX
1OEV.Z,STX USA 900 CO.P.+S.NR EO,,"The STX USA 900 CO.P.+S.NR EO index tracks the performance of companies within the component production and services sector in the United States, selected from the STOXX USA 900 index. The index uses a net return methodology and is denominated in EUR. It aims to represent the leading companies in that sector in the US.",Industrials,Industrials,ZRH,XSWX
1OO1.Z,ST.EU.600 I.N.AX LR.GR EO,,The ST.EU.600 I.N.AX LR.GR EO index tracks the performance of companies within the insurance sector in Europe. It's part of the STOXX Europe 600 index family and follows a gross return methodology. The index is denominated in EUR.,Financials,Financials,ZRH,XSWX
1OO3.Z,STX EU.TM CO.PR.+SE.PR DL,,"The STX EU.TM CO.PR.+SE.PR DL index tracks the performance of companies within the travel and leisure sector in Europe. It includes companies involved in various segments like hotels, airlines, and entertainment. The index follows a price return methodology and is denominated in EUR.",Consumer Discretionary,Consumer Discretionary,ZRH,XSWX
1OO4.Z,STX CAN.240 IND.C.S.NR EO,,The STX CAN.240 IND.C.S.NR EO index tracks the performance of 240 Canadian companies within the industrial goods and services sector. The index uses a net return methodology and is denominated in EUR. It aims to represent the leading Canadian industrial companies.,Industrials,Industrials,ZRH,XSWX
1OO7.Z,ST.EU.600 IN.N.AX V.PR DL,,The ST.EU.600 IN.N.AX V.PR DL index tracks the performance of companies within the insurance sector in Europe. It's part of the STOXX Europe 600 index family and follows a price return methodology. The index is denominated in EUR.,Financials,Financials,ZRH,XSWX
1OO9.Z,STXE 600 FO.BE.+TO.PR EO,,"The STXE 600 FO.BE.+TO.PR EO index tracks the performance of companies within the food, beverage, and tobacco sectors in Europe. The index uses a price return methodology and is denominated in EUR. The index is designed to represent leading companies in those sectors.",Consumer Staples,Consumer Staples,ZRH,XSWX
1OOB.Z,STXE 600 OP.CO.P.+S.PR DL,,The STXE 600 OP.CO.P.+S.PR DL index tracks the performance of companies within the oil & gas producers sector in Europe. The index uses a price return methodology and is denominated in EUR. The index is designed to represent leading companies in that sector.,Energy,Energy,ZRH,XSWX
1OOD.Z,ST.US.500 IN.N.AX S.NR DL,,The ST.US.500 IN.N.AX S.NR DL index tracks the performance of companies within the insurance sector in the United States. It's part of the STOXX US 500 index family and follows a net return methodology. The index is denominated in EUR.,Financials,Financials,ZRH,XSWX
1OOE.Z,STX GL.3000 IND.C.D.GR EO,,"The STX GL.3000 IND.C.D.GR EO index tracks the performance of companies within the construction and materials sector globally, selected from the STOXX Global 3000 index. The index uses a gross return methodology and is denominated in EUR. It aims to represent the leading construction materials companies globally.",Materials,Materials,ZRH,XSWX
1OOK.Z,STX GL.1800 E.E.PCD+GS.,,,Equities,Equities,ZRH,XSWX
1OOL.Z,STXE 600 IND.CO.DI.NR DL,,The STXE 600 IND.CO.DI.NR DL index tracks the performance of companies within the industrial goods and services sector in Europe. It's part of the STOXX Europe 600 index family and follows a net return methodology. The index is denominated in EUR.,Industrials,Industrials,ZRH,XSWX
1OOR.Z,STX GL.1800 IND.ENE.NR EO,,"The STX GL.1800 IND.ENE.NR EO Index tracks the performance of companies within the energy sector from the STX Global 1800 Index, while applying a net return methodology. It represents the non-eurozone developed markets version of this sector-specific index. The index serves as a benchmark for investments focused on energy companies within a global context.",Energy,Energy,ZRH,XSWX
1OOS.Z,STX EAS.EU. 300 ENE.GR EO,,"The STX EAS.EU. 300 ENE.GR EO Index tracks the performance of energy sector companies within the STXE Europe 300 Index, using a gross return methodology. It focuses on companies specifically within the European economic area. The index is designed for investors seeking exposure to the energy sector in Europe.",Energy,Energy,ZRH,XSWX
1OOT.Z,ESTX TMI CONS.DIS..GR EO,,"The ESTX TMI CONS.DIS..GR EO Index tracks the performance of companies in the consumer discretionary sector within the STXE Total Market Index (TMI), using a gross return methodology. It covers companies providing goods and services related to leisure, entertainment, and consumer durables. The index serves as a benchmark for investments focused on consumer discretionary companies in Europe.",Consumer Discretionary,Consumer Discretionary,ZRH,XSWX
1OS2.Z,ST.EU.600 I.N.AX LR.PR DL,,The ST.EU.600 I.N.AX LR.PR DL Index represents a sector-specific version of the STOXX Europe 600 index. The index utilizes a price return methodology and is denominated in Deutsche Mark. It tracks insurance companies.,Financials,Financials,ZRH,XSWX
1OS4.Z,STX EU.TM CO.PR.+SE.NR DL,,"The STX EU.TM CO.PR.+SE.NR DL Index tracks the performance of combined primary and secondary commodities within the STOXX Europe Total Market Index, using a net return methodology. The index is denominated in Deutsche Mark. It serves as a benchmark for investments focused on commodity-related companies in Europe.",Commodities,Commodities Broad Basket,ZRH,XSWX
1OS5.Z,STX CAN.240 IND.C.S.GR DL,,"The STX CAN.240 IND.C.S.GR DL Index tracks the performance of companies within the construction and materials sector from the STX Canada 240 Index, using a gross return methodology. The index is denominated in Deutsche Mark. It serves as a benchmark for investments focused on construction and materials companies in Canada.",Materials,Materials,ZRH,XSWX
1OS8.Z,ST.EU.600 IN.N.AX V.NR DL,,"The ST.EU.600 IN.N.AX V.NR DL Index represents a sector-specific version of the STOXX Europe 600 index, focusing on the vehicles and parts sector. The index utilizes a net return methodology and is denominated in Deutsche Mark. It serves as a benchmark for investments focused on vehicle and parts companies in Europe.",Industrials,Industrials,ZRH,XSWX
1OSA.Z,STXE 600 FO.BE.+TO.NR EO,,"The STXE 600 FO.BE.+TO.NR EO Index tracks the performance of food, beverage, and tobacco companies within the STOXX Europe 600 Index, using a net return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on food, beverage and tobacco companies in Europe.",Consumer Staples,Consumer Staples,ZRH,XSWX
1OSC.Z,STXE 600 OP.CO.P.+S.NR EO,,"The STXE 600 OP.CO.P.+S.NR EO Index tracks the performance of oil and gas companies within the STOXX Europe 600 Index, using a net return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on oil and gas companies in Europe.",Energy,Energy,ZRH,XSWX
1OSF.Z,STX GL.3000 IND.C.D.PR EO,,"The STX GL.3000 IND.C.D.PR EO Index tracks the performance of companies within the construction and materials sector from the STX Global 3000 Index, while applying a price return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on construction and materials companies within a global context.",Materials,Materials,ZRH,XSWX
1OSK.Z,IST.GLO.FINTECH 30 NR EO,,"The IST.GLO.FINTECH 30 NR EO Index tracks the performance of the 30 largest Fintech companies globally, using a net return methodology. It represents the euro-denominated version of this specialized index. The index serves as a benchmark for investments focused on the Fintech sector globally.",Financials,Technology,ZRH,XSWX
1OSL.Z,STX GL.1800 E.E.PCD+GS.,,,Equities,Equities,ZRH,XSWX
1OSM.Z,STXE 600 CO.PRO.+SE.GR EO,,"The STXE 600 CO.PRO.+SE.GR EO Index tracks the performance of chemical companies within the STOXX Europe 600 Index, using a gross return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on chemical companies in Europe.",Materials,Materials,ZRH,XSWX
1OST.Z,STX EAS.EU. 300 ENE.PR EO,,"The STX EAS.EU. 300 ENE.PR EO Index tracks the performance of energy sector companies within the STXE Europe 300 Index, using a price return methodology. It focuses on companies specifically within the European economic area. The index is designed for investors seeking exposure to the energy sector in Europe.",Energy,Energy,ZRH,XSWX
1OSU.Z,ESTX TMI CONS.DIS..PR EO,,"The ESTX TMI CONS.DIS..PR EO Index tracks the performance of companies in the consumer discretionary sector within the STXE Total Market Index (TMI), using a price return methodology. It covers companies providing goods and services related to leisure, entertainment, and consumer durables. The index serves as a benchmark for investments focused on consumer discretionary companies in Europe.",Consumer Discretionary,Consumer Discretionary,ZRH,XSWX
1OSZ.Z,STX CAN.240 F.B.+T.NR DL,,"The STX CAN.240 F.B.+T.NR DL Index tracks the performance of food, beverage, and tobacco companies within the STX Canada 240 Index, using a net return methodology. The index is denominated in Deutsche Mark. It serves as a benchmark for investments focused on food, beverage, and tobacco companies in Canada.",Consumer Staples,Consumer Staples,ZRH,XSWX
1OU3.Z,ST.EU.600 I.N.AX LR.NR DL,,"The ST.EU.600 I.N.AX LR.NR DL Index represents a sector-specific version of the STOXX Europe 600 index, focusing on insurance companies. The index utilizes a net return methodology and is denominated in Deutsche Mark. It serves as a benchmark for investments focused on insurance companies in Europe.",Financials,Financials,ZRH,XSWX
1OU5.Z,STX EU.TMI CONS.ST.GR EO,,"The STX EU.TMI CONS.ST.GR EO Index tracks the performance of companies in the consumer staples sector within the STOXX Europe Total Market Index (TMI), using a gross return methodology. It covers companies providing essential goods and services for daily use. The index serves as a benchmark for investments focused on consumer staples companies in Europe.",Consumer Staples,Consumer Staples,ZRH,XSWX
1OU6.Z,STX CAN.240 IND.C.S.PR DL,,"The STX CAN.240 IND.C.S.PR DL Index tracks the performance of companies within the construction and materials sector from the STX Canada 240 Index, using a price return methodology. The index is denominated in Deutsche Mark. It serves as a benchmark for investments focused on construction and materials companies in Canada.",Materials,Materials,ZRH,XSWX
1OU9.Z,ST.EU.600 IN.N.AX V.GR DL,,"The ST.EU.600 IN.N.AX V.GR DL Index represents a sector-specific version of the STOXX Europe 600 index, focusing on the vehicles and parts sector. The index utilizes a gross return methodology and is denominated in Deutsche Mark. It serves as a benchmark for investments focused on vehicle and parts companies in Europe.",Industrials,Industrials,ZRH,XSWX
1OUA.Z,STX GL.3000 F.B.+T.PR EO,,"The STX GL.3000 F.B.+T.PR EO Index tracks the performance of food, beverage, and tobacco companies within the STX Global 3000 Index, while applying a price return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on food, beverage and tobacco companies within a global context.",Consumer Staples,Consumer Staples,ZRH,XSWX
1OUD.Z,STXE 600 OP.CO.P.+S.NR DL,,"The STXE 600 OP.CO.P.+S.NR DL Index tracks the performance of oil and gas companies within the STOXX Europe 600 Index, using a net return methodology. It is denominated in Deutsche Mark. The index serves as a benchmark for investments focused on oil and gas companies in Europe.",Energy,Energy,ZRH,XSWX
1OUF.Z,ST.US.500 IN.N.AX Q.PR EO,,"The ST.US.500 IN.N.AX Q.PR EO Index tracks the performance of companies in the real estate sector within the STOXX US 500 Index, using a price return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on real estate companies in the US.",Real Estate,Real Estate Services,ZRH,XSWX
1OUG.Z,STX GL.3000 IND.C.D.NR EO,,"The STX GL.3000 IND.C.D.NR EO Index tracks the performance of companies within the construction and materials sector from the STX Global 3000 Index, while applying a net return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on construction and materials companies within a global context.",Materials,Materials,ZRH,XSWX
1OUI.Z,STX A/P 600 IND.C.S.GR EO,,"The STX A/P 600 IND.C.S.GR EO Index tracks the performance of companies within the construction and materials sector from the STX Asia/Pacific 600 Index, using a gross return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on construction and materials companies in the Asia/Pacific region.",Materials,Materials,ZRH,XSWX
1OUL.Z,IST.GLO.FINTECH 30 NR DL,,"The IST.GLO.FINTECH 30 NR DL Index tracks the performance of the 30 largest Fintech companies globally, using a net return methodology. It represents the Deutsche Mark denominated version of this specialized index. The index serves as a benchmark for investments focused on the Fintech sector globally.",Financials,Technology,ZRH,XSWX
1OUM.Z,STX GL.1800 E.E.PCD+GS.,,,Equities,Equities,ZRH,XSWX
1OUN.Z,STXE 600 CO.PRO.+SE.PR EO,,"The STXE 600 CO.PRO.+SE.PR EO Index tracks the performance of chemical companies within the STOXX Europe 600 Index, using a price return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on chemical companies in Europe.",Materials,Materials,ZRH,XSWX
1OUP.Z,ESTX TM FO.BE.+TO.PR EO,,"The ESTX TM FO.BE.+TO.PR EO Index tracks the performance of food, beverage, and tobacco companies within the STOXX Total Market Index (TMI), using a price return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on food, beverage and tobacco companies in Europe.",Consumer Staples,Consumer Staples,ZRH,XSWX
1OUT.Z,STX GL.1800 IND.ENE.PR DL,,"The STX GL.1800 IND.ENE.PR DL Index tracks the performance of companies within the energy sector from the STX Global 1800 Index, while applying a price return methodology. It is denominated in Deutsche Mark. The index serves as a benchmark for investments focused on energy companies within a global context.",Energy,Energy,ZRH,XSWX
1OUU.Z,STX EAS.EU. 300 ENE.NR EO,,"The STX EAS.EU. 300 ENE.NR EO Index tracks the performance of energy sector companies within the STXE Europe 300 Index, using a net return methodology. It focuses on companies specifically within the European economic area. The index is designed for investors seeking exposure to the energy sector in Europe.",Energy,Energy,ZRH,XSWX
1OUV.Z,ESTX TMI CONS.DIS..NR EO,,"The ESTX TMI CONS.DIS..NR EO Index tracks the performance of companies in the consumer discretionary sector within the STXE Total Market Index (TMI), using a net return methodology. It covers companies providing goods and services related to leisure, entertainment, and consumer durables. The index serves as a benchmark for investments focused on consumer discretionary companies in Europe.",Consumer Discretionary,Consumer Discretionary,ZRH,XSWX
1U00.Z,STX EU.TMI RE.ES. GR EO,,"The STX EU.TMI RE.ES. GR EO Index tracks the performance of companies in the real estate sector within the STOXX Europe Total Market Index (TMI), using a gross return methodology. It focuses on companies specifically within the European economic area. The index is designed for investors seeking exposure to the real estate sector in Europe.",Real Estate,Real Estate Services,ZRH,XSWX
1U04.Z,ST.EU.600 I.N.AX LR.GR DL,,"The ST.EU.600 I.N.AX LR.GR DL Index represents a sector-specific version of the STOXX Europe 600 index, focusing on insurance companies. The index utilizes a gross return methodology and is denominated in Deutsche Mark. It serves as a benchmark for investments focused on insurance companies in Europe.",Financials,Financials,ZRH,XSWX
1U06.Z,STX EU.TMI CONS.ST.PR EO,,"The STX EU.TMI CONS.ST.PR EO Index tracks the performance of companies in the consumer staples sector within the STOXX Europe Total Market Index (TMI), using a price return methodology. It covers companies providing essential goods and services for daily use. The index serves as a benchmark for investments focused on consumer staples companies in Europe.",Consumer Staples,Consumer Staples,ZRH,XSWX
1U07.Z,STX CAN.240 IND.C.S.NR DL,,"The STX CAN.240 IND.C.S.NR DL Index tracks the performance of companies within the construction and materials sector from the STX Canada 240 Index, using a net return methodology. The index is denominated in Deutsche Mark. It serves as a benchmark for investments focused on construction and materials companies in Canada.",Materials,Materials,ZRH,XSWX
1U0A.Z,ST.EU.600 IN.N.AX S.PR EO,,"The ST.EU.600 IN.N.AX S.PR EO Index represents a sector-specific version of the STOXX Europe 600 index, focusing on the retail sector. The index utilizes a price return methodology and is denominated in Euro. It serves as a benchmark for investments focused on retail companies in Europe.",Consumer Discretionary,Consumer Discretionary,ZRH,XSWX
1U0B.Z,STX GL.3000 F.B.+T.NR EO,,"The STX GL.3000 F.B.+T.NR EO Index tracks the performance of food, beverage, and tobacco companies within the STX Global 3000 Index, while applying a net return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on food, beverage and tobacco companies within a global context.",Consumer Staples,Consumer Staples,ZRH,XSWX
1U0C.Z,STXE 600 FO.BE.+TO.PR DL,,"The STXE 600 FO.BE.+TO.PR DL Index tracks the performance of food, beverage, and tobacco companies within the STOXX Europe 600 Index, using a price return methodology. It is denominated in Deutsche Mark. The index serves as a benchmark for investments focused on food, beverage and tobacco companies in Europe.",Consumer Staples,Consumer Staples,ZRH,XSWX
1U0D.Z,STX A/P 600 IN.RE.E.GR EO,,"The STX A/P 600 IN.RE.E.GR EO Index tracks the performance of companies in the real estate sector from the STX Asia/Pacific 600 Index, using a gross return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on real estate companies in the Asia/Pacific region.",Real Estate,Real Estate Services,ZRH,XSWX
1U0E.Z,STXE 600 OP.CO.P.+S.GR EO,,"The STXE 600 OP.CO.P.+S.GR EO Index tracks the performance of oil and gas companies within the STOXX Europe 600 Index, using a gross return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on oil and gas companies in Europe.",Energy,Energy,ZRH,XSWX
1U0G.Z,ST.US.500 IN.N.AX Q.NR EO,,"The ST.US.500 IN.N.AX Q.NR EO Index tracks the performance of companies in the real estate sector within the STOXX US 500 Index, using a net return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on real estate companies in the US.",Real Estate,Real Estate Services,ZRH,XSWX
1U0H.Z,STX GL.3000 IND.C.D.GR DL,,"The STX GL.3000 IND.C.D.GR DL Index tracks the performance of companies within the construction and materials sector from the STX Global 3000 Index, while applying a gross return methodology. It is denominated in Deutsche Mark. The index serves as a benchmark for investments focused on construction and materials companies within a global context.",Materials,Materials,ZRH,XSWX
1U0J.Z,STX A/P 600 IND.C.S.PR EO,,"The STX A/P 600 IND.C.S.PR EO Index tracks the performance of companies within the construction and materials sector from the STX Asia/Pacific 600 Index, using a price return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on construction and materials companies in the Asia/Pacific region.",Materials,Materials,ZRH,XSWX
1U0M.Z,IST.GLO.FINTECH 30 GR EO,,"The IST.GLO.FINTECH 30 GR EO Index tracks the performance of the 30 largest Fintech companies globally, using a gross return methodology. It represents the euro-denominated version of this specialized index. The index serves as a benchmark for investments focused on the Fintech sector globally.",Financials,Technology,ZRH,XSWX
1U0N.Z,STX GL.1800 E.E.PCD+GS.,,,Equities,Equities,ZRH,XSWX
1U0P.Z,STXE 600 CO.PRO.+SE.NR EO,,"The STXE 600 CO.PRO.+SE.NR EO Index tracks the performance of chemical companies within the STOXX Europe 600 Index, using a net return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on chemical companies in Europe.",Materials,Materials,ZRH,XSWX
1U0Q.Z,ESTX TM FO.BE.+TO.NR EO,,"The ESTX TM FO.BE.+TO.NR EO Index tracks the performance of food, beverage, and tobacco companies within the STOXX Total Market Index (TMI), using a net return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on food, beverage and tobacco companies in Europe.",Consumer Staples,Consumer Staples,ZRH,XSWX
1U0V.Z,STX EAS.EU. 300 ENE.GR DL,,"The STX EAS.EU. 300 ENE.GR DL Index tracks the performance of energy sector companies within the STXE Europe 300 Index, using a gross return methodology. It focuses on companies specifically within the European economic area and is denominated in Deutsche Mark. The index is designed for investors seeking exposure to the energy sector in Europe.",Energy,Energy,ZRH,XSWX
1U0W.Z,ESTX TMI CONS.DIS..GR DL,,"The ESTX TMI CONS.DIS..GR DL Index tracks the performance of companies in the consumer discretionary sector within the STXE Total Market Index (TMI), using a gross return methodology. It covers companies providing goods and services related to leisure, entertainment, and consumer durables, and is denominated in Deutsche Mark. The index serves as a benchmark for investments focused on consumer discretionary companies in Europe.",Consumer Discretionary,Consumer Discretionary,ZRH,XSWX
1U0Z.Z,STX USA 900 IND.C.S.GR EO,,"The STX USA 900 IND.C.S.GR EO Index tracks the performance of companies within the construction and materials sector from the STX USA 900 Index, using a gross return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on construction and materials companies in the US.",Materials,Materials,ZRH,XSWX
20O0.Z,STX USA 900 IND.C.S.PR EO,,"The STX USA 900 IND.C.S.PR EO Index tracks the performance of companies within the construction and materials sector from the STX USA 900 Index, using a price return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on construction and materials companies in the US.",Materials,Materials,ZRH,XSWX
20O1.Z,STX EU.TMI RE.ES. PR EO,,"The STX EU.TMI RE.ES. PR EO Index tracks the performance of companies in the real estate sector within the STOXX Europe Total Market Index (TMI), using a price return methodology. It focuses on companies specifically within the European economic area. The index is designed for investors seeking exposure to the real estate sector in Europe.",Real Estate,Real Estate Services,ZRH,XSWX
20O3.Z,ESTX FO.BE.+TO.PR EO,,"The ESTX FO.BE.+TO.PR EO Index tracks the performance of food, beverage, and tobacco companies within the Eurostoxx index, using a price return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on food, beverage and tobacco companies in Europe.",Consumer Staples,Consumer Staples,ZRH,XSWX
20O5.Z,IS.GL.EL.V.+D.TE.30 NR EO,,,,,ZRH,XSWX
20O7.Z,STX EU.TMI CONS.ST.NR EO,,"The STX EU.TMI CONS.ST.NR EO Index tracks the performance of companies in the consumer staples sector within the STOXX Europe Total Market Index (TMI), using a net return methodology. It covers companies providing essential goods and services for daily use. The index serves as a benchmark for investments focused on consumer staples companies in Europe.",Consumer Staples,Consumer Staples,ZRH,XSWX
20O8.Z,STX CAN.240 IND.C.S.GR CD,,"The STX CAN.240 IND.C.S.GR CD Index tracks the performance of companies within the construction and materials sector from the STX Canada 240 Index, using a gross return methodology. It is denominated in Canadian dollars. The index serves as a benchmark for investments focused on construction and materials companies in Canada.",Materials,Materials,ZRH,XSWX
20OB.Z,ST.EU.600 IN.N.AX S.NR EO,,"The ST.EU.600 IN.N.AX S.NR EO Index represents a sector-specific version of the STOXX Europe 600 index, focusing on the retail sector. The index utilizes a net return methodology and is denominated in Euro. It serves as a benchmark for investments focused on retail companies in Europe.",Consumer Discretionary,Consumer Discretionary,ZRH,XSWX
20OD.Z,STXE 600 FO.BE.+TO.NR DL,,"The STXE 600 FO.BE.+TO.NR DL Index tracks the performance of food, beverage, and tobacco companies within the STOXX Europe 600 Index, using a net return methodology. It is denominated in Deutsche Mark. The index serves as a benchmark for investments focused on food, beverage and tobacco companies in Europe.",Consumer Staples,Consumer Staples,ZRH,XSWX
20OE.Z,STX A/P 600 IN.RE.E.PR EO,,"The STX A/P 600 IN.RE.E.PR EO Index tracks the performance of companies in the real estate sector from the STX Asia/Pacific 600 Index, using a price return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on real estate companies in the Asia/Pacific region.",Real Estate,Real Estate Services,ZRH,XSWX
20OF.Z,STXE 600 OP.CO.P.+S.GR DL,,"The STXE 600 OP.CO.P.+S.GR DL Index tracks the performance of oil and gas companies within the STOXX Europe 600 Index, using a gross return methodology. It is denominated in Deutsche Mark. The index serves as a benchmark for investments focused on oil and gas companies in Europe.",Energy,Energy,ZRH,XSWX
20OH.Z,ST.US.500 IN.N.AX Q.GR EO,,"The ST.US.500 IN.N.AX Q.GR EO Index tracks the performance of companies in the real estate sector within the STOXX US 500 Index, using a gross return methodology. It represents the euro-denominated version of this sector-specific index. The index serves as a benchmark for investments focused on real estate companies in the US.",Real Estate,Real Estate Services,ZRH,XSWX
20OI.Z,STX GL.3000 IND.C.D.PR DL,,"The STX GL.3000 IND.C.D.PR DL Index tracks the performance of companies within the construction and materials sector from the STX Global 3000 Index, while applying a price return methodology. It is denominated in Deutsche Mark. The index serves as a benchmark for investments focused on construction and materials companies within a global context.",Materials,Materials,ZRH,XSWX
