symbol,name,base_currency,quote_currency,summary,exchange
CADBZD=X,CAD/BZD,CAD,BZD,"The exchange rate between the Canadian Dollar (CAD) and the Belize Dollar (BZD). It indicates how many BZD are needed to purchase one CAD. The Belize Dollar is pegged to the US Dollar, therefore the rate will reflect the CAD/USD pairing.",CCY
CADCDF=X,CAD/CDF,CAD,CDF,The exchange rate between the Canadian Dollar (CAD) and the Congolese Franc (CDF). It indicates how many CDF are needed to purchase one CAD. This rate is relevant for trade and financial relations between Canada and the Democratic Republic of Congo.,CCY
CADCHF=X,CAD/CHF,CAD,CHF,The exchange rate between the Canadian Dollar (CAD) and the Swiss Franc (CHF). It indicates how many CHF are needed to purchase one CAD. This is a commonly traded currency pair and reflects the economic relationship between Canada and Switzerland.,CCY
CADCLP=X,CAD/CLP,CAD,CLP,The exchange rate between the Canadian Dollar (CAD) and the Chilean Peso (CLP). It indicates how many CLP are needed to purchase one CAD. It is an important rate for those involved in trade and investment between Canada and Chile.,CCY
CADCNH=X,CAD/CNH,CAD,CNH,"The exchange rate between the Canadian Dollar (CAD) and the offshore Chinese Yuan (CNH). It indicates how many CNH are needed to purchase one CAD. The offshore Yuan is traded outside mainland China, primarily in Hong Kong.",CCY
CADCNY=X,CAD/CNY,CAD,CNY,The exchange rate between the Canadian Dollar (CAD) and the Chinese Yuan (CNY). It indicates how many CNY are needed to purchase one CAD. This is a vital exchange rate for international trade between Canada and China.,CCY
CADCOP=X,CAD/COP,CAD,COP,The exchange rate between the Canadian Dollar (CAD) and the Colombian Peso (COP). It indicates how many COP are needed to purchase one CAD. It's an important rate for financial and commercial activities between Canada and Colombia.,CCY
CADCRC=X,CAD/CRC,CAD,CRC,The exchange rate between the Canadian Dollar (CAD) and the Costa Rican Colón (CRC). It indicates how many CRC are needed to purchase one CAD. This is an important rate for those involved in trade and investment between Canada and Costa Rica.,CCY
CADCUP=X,CAD/CUP,CAD,CUP,"The exchange rate between the Canadian Dollar (CAD) and the Cuban Peso (CUP). It indicates how many CUP are needed to purchase one CAD. This rate impacts the cost of goods, services, and investments between Canada and Cuba.",CCY
CADCVE=X,CAD/CVE,CAD,CVE,"The exchange rate between the Canadian Dollar (CAD) and the Cape Verdean Escudo (CVE). It indicates how many CVE are needed to purchase one CAD. The exchange rate influences the cost of goods, services, and investments between Canada and Cape Verde.",CCY
CADCZK=X,CAD/CZK,CAD,CZK,The exchange rate between the Canadian Dollar (CAD) and the Czech Koruna (CZK). It indicates how many CZK are needed to purchase one CAD. It's a relevant rate for those involved in trade and investment between Canada and the Czech Republic.,CCY
CADCZX=X,CAD/CZX,CAD,CZX,,CCY
CADDJF=X,CAD/DJF,CAD,DJF,The exchange rate between the Canadian Dollar (CAD) and the Djiboutian Franc (DJF). It indicates how many DJF are needed to purchase one CAD. The Djiboutian Franc is pegged to the US dollar; therefore the rate mirrors the CAD/USD rate.,CCY
CADDKK=X,CAD/DKK,CAD,DKK,The exchange rate between the Canadian Dollar (CAD) and the Danish Krone (DKK). It indicates how many DKK are needed to purchase one CAD. This is important for trade and financial interactions between Canada and Denmark.,CCY
CADDKX=X,CAD/DKX,CAD,DKX,,CCY
CADDOP=X,CAD/DOP,CAD,DOP,The exchange rate between the Canadian Dollar (CAD) and the Dominican Peso (DOP). It indicates how many DOP are needed to purchase one CAD. This rate is relevant for trade and financial transactions between Canada and the Dominican Republic.,CCY
CADDZD=X,CAD/DZD,CAD,DZD,The exchange rate between the Canadian Dollar (CAD) and the Algerian Dinar (DZD). It indicates how many DZD are needed to purchase one CAD. This rate is relevant for trade and investment between Canada and Algeria.,CCY
CADEGP=X,CAD/EGP,CAD,EGP,The exchange rate between the Canadian Dollar (CAD) and the Egyptian Pound (EGP). It indicates how many EGP are needed to purchase one CAD. This rate is important for trade and financial relationships between Canada and Egypt.,CCY
CADERN=X,CAD/ERN,CAD,ERN,The exchange rate between the Canadian Dollar (CAD) and the Eritrean Nakfa (ERN). It indicates how many ERN are needed to purchase one CAD. This exchange rate is relevant for financial transactions between Canada and Eritrea.,CCY
CADETB=X,CAD/ETB,CAD,ETB,The exchange rate between the Canadian Dollar (CAD) and the Ethiopian Birr (ETB). It indicates how many ETB are needed to purchase one CAD. It is an important rate for those involved in trade and investment between Canada and Ethiopia.,CCY
CADEUR=X,CAD/EUR,CAD,EUR,"The exchange rate between the Canadian Dollar (CAD) and the Euro (EUR). It indicates how many EUR are needed to purchase one CAD. This is a widely followed exchange rate, reflecting the economic relationship between Canada and the Eurozone.",CCY
CADFJD=X,CAD/FJD,CAD,FJD,The exchange rate between the Canadian Dollar (CAD) and the Fijian Dollar (FJD). It indicates how many FJD are needed to purchase one CAD. This exchange rate is important for financial transactions between Canada and Fiji.,CCY
CADFKP=X,CAD/FKP,CAD,FKP,"The exchange rate between the Canadian Dollar (CAD) and the Falkland Islands Pound (FKP). It indicates how many FKP are needed to purchase one CAD. The Falkland Islands Pound is pegged to the British Pound, so this rate is indirectly related to CAD/GBP.",CCY
CADGBP=X,CAD/GBP,CAD,GBP,The exchange rate between the Canadian Dollar (CAD) and the British Pound (GBP). It indicates how many GBP are needed to purchase one CAD. This is a commonly watched exchange rate reflecting the economic relationship between Canada and the United Kingdom.,CCY
CADGEL=X,CAD/GEL,CAD,GEL,The exchange rate between the Canadian Dollar (CAD) and the Georgian Lari (GEL). It indicates how many GEL are needed to purchase one CAD. It is a relevant rate for those involved in trade and investment between Canada and Georgia.,CCY
CADGHS=X,CAD/GHS,CAD,GHS,The exchange rate between the Canadian Dollar (CAD) and the Ghanaian Cedi (GHS). It indicates how many GHS are needed to purchase one CAD. This rate is relevant for trade and financial transactions between Canada and Ghana.,CCY
CADGIP=X,CAD/GIP,CAD,GIP,The exchange rate between the Canadian Dollar (CAD) and the Gibraltar Pound (GIP). It indicates how many GIP are needed to purchase one CAD. The Gibraltar Pound is pegged to the British Pound.,CCY
CADGMD=X,CAD/GMD,CAD,GMD,The exchange rate between the Canadian Dollar (CAD) and the Gambian Dalasi (GMD). It indicates how many GMD are needed to purchase one CAD. The exchange rate is relevant for financial transactions between Canada and Gambia.,CCY
CADGNF=X,CAD/GNF,CAD,GNF,The exchange rate between the Canadian Dollar (CAD) and the Guinean Franc (GNF). It indicates how many GNF are needed to purchase one CAD. This rate is relevant for trade and financial relations between Canada and Guinea.,CCY
CADGTQ=X,CAD/GTQ,CAD,GTQ,The exchange rate between the Canadian Dollar (CAD) and the Guatemalan Quetzal (GTQ). It indicates how many GTQ are needed to purchase one CAD. This rate is relevant for trade and investment between Canada and Guatemala.,CCY
CADGYD=X,CAD/GYD,CAD,GYD,The exchange rate between the Canadian Dollar (CAD) and the Guyanese Dollar (GYD). It indicates how many GYD are needed to purchase one CAD. This rate is relevant for trade and investment between Canada and Guyana.,CCY
CADHKD=X,CAD/HKD,CAD,HKD,"The exchange rate between the Canadian Dollar (CAD) and the Hong Kong Dollar (HKD). It indicates how many HKD are needed to purchase one CAD. The Hong Kong Dollar is pegged to the US dollar, so this rate effectively reflects CAD/USD relative to Hong Kong.",CCY
CADHNL=X,CAD/HNL,CAD,HNL,The exchange rate between the Canadian Dollar (CAD) and the Honduran Lempira (HNL). It indicates how many HNL are needed to purchase one CAD. This exchange rate is relevant for financial transactions between Canada and Honduras.,CCY
CADHRK=X,CAD/HRK,CAD,HRK,"The exchange rate between the Canadian Dollar (CAD) and the Croatian Kuna (HRK). It indicates how many HRK are needed to purchase one CAD. Croatia now uses the Euro, so this pair is deprecated.",CCY
CADHRX=X,CAD/HRX,CAD,HRX,,CCY
CADHTG=X,CAD/HTG,CAD,HTG,The exchange rate between the Canadian Dollar (CAD) and the Haitian Gourde (HTG). It indicates how many HTG are needed to purchase one CAD. This exchange rate is relevant for financial transactions between Canada and Haiti.,CCY
CADHUF=X,CAD/HUF,CAD,HUF,The exchange rate between the Canadian Dollar (CAD) and the Hungarian Forint (HUF). It indicates how many HUF are needed to purchase one CAD. This is a relevant rate for those involved in trade and investment between Canada and Hungary.,CCY
CADHUX=X,CAD/HUX,CAD,HUX,,CCY
CADIDR=X,CAD/IDR,CAD,IDR,The exchange rate between the Canadian Dollar (CAD) and the Indonesian Rupiah (IDR). It indicates how many IDR are needed to purchase one CAD. This is a relevant rate for those involved in trade and investment between Canada and Indonesia.,CCY
CADILS=X,CAD/ILS,CAD,ILS,The exchange rate between the Canadian Dollar (CAD) and the Israeli New Shekel (ILS). It indicates how many ILS are needed to purchase one CAD. This exchange rate is important for financial transactions between Canada and Israel.,CCY
CADINR=X,CAD/INR,CAD,INR,The exchange rate between the Canadian Dollar (CAD) and the Indian Rupee (INR). It indicates how many INR are needed to purchase one CAD. This is an important exchange rate for those involved in trade and investment between Canada and India.,CCY
CADIQD=X,CAD/IQD,CAD,IQD,The exchange rate between the Canadian Dollar (CAD) and the Iraqi Dinar (IQD). It indicates how many IQD are needed to purchase one CAD. This exchange rate is relevant for financial transactions between Canada and Iraq.,CCY
CADIRR=X,CAD/IRR,CAD,IRR,The exchange rate between the Canadian Dollar (CAD) and the Iranian Rial (IRR). It indicates how many IRR are needed to purchase one CAD. This exchange rate is relevant for financial transactions between Canada and Iran.,CCY
CADISK=X,CAD/ISK,CAD,ISK,The exchange rate between the Canadian Dollar (CAD) and the Icelandic Króna (ISK). It indicates how many ISK are needed to purchase one CAD. It is an important rate for those involved in trade and investment between Canada and Iceland.,CCY
CADISX=X,CAD/ISX,CAD,ISX,,CCY
CADJMD=X,CAD/JMD,CAD,JMD,The exchange rate between the Canadian Dollar (CAD) and the Jamaican Dollar (JMD). It indicates how many JMD are needed to purchase one CAD. This exchange rate is important for financial transactions between Canada and Jamaica.,CCY
CADJOD=X,CAD/JOD,CAD,JOD,The exchange rate between the Canadian Dollar (CAD) and the Jordanian Dinar (JOD). It indicates how many JOD are needed to purchase one CAD. This exchange rate is relevant for financial transactions between Canada and Jordan.,CCY
CADJPY=X,CAD/JPY,CAD,JPY,The exchange rate between the Canadian Dollar (CAD) and the Japanese Yen (JPY). It indicates how many JPY are needed to purchase one CAD. This is a commonly traded currency pair and reflects the economic relationship between Canada and Japan.,CCY
CADKES=X,CAD/KES,CAD,KES,The exchange rate between the Canadian Dollar (CAD) and the Kenyan Shilling (KES). It indicates how many KES are needed to purchase one CAD. This rate is relevant for trade and financial transactions between Canada and Kenya.,CCY
CADKGS=X,CAD/KGS,CAD,KGS,The exchange rate between the Canadian Dollar (CAD) and the Kyrgyzstani Som (KGS). It indicates how many KGS are needed to purchase one CAD. This rate is relevant for trade and investment between Canada and Kyrgyzstan.,CCY
CADKHR=X,CAD/KHR,CAD,KHR,The exchange rate between the Canadian Dollar (CAD) and the Cambodian Riel (KHR). It indicates how many KHR are needed to purchase one CAD. This rate is relevant for trade and investment between Canada and Cambodia.,CCY
CADKMF=X,CAD/KMF,CAD,KMF,The exchange rate between the Canadian Dollar (CAD) and the Comorian Franc (KMF). It indicates how many KMF are needed to purchase one CAD. This exchange rate is relevant for financial transactions between Canada and Comoros.,CCY
CADKPW=X,CAD/KPW,CAD,KPW,The exchange rate between the Canadian Dollar (CAD) and the North Korean Won (KPW). It indicates how many KPW are needed to purchase one CAD. Official exchange rates for North Korean Won are rarely used in practice.,CCY
CADKRW=X,CAD/KRW,CAD,KRW,The exchange rate between the Canadian Dollar (CAD) and the South Korean Won (KRW). It indicates how many KRW are needed to purchase one CAD. This exchange rate is important for financial transactions between Canada and South Korea.,CCY
CADKWD=X,CAD/KWD,CAD,KWD,"The exchange rate between the Canadian Dollar (CAD) and the Kuwaiti Dinar (KWD). It indicates how many KWD are needed to purchase one CAD. The Kuwaiti Dinar is a high-value currency, making this exchange rate significant for large transactions.",CCY
CADKYD=X,CAD/KYD,CAD,KYD,The exchange rate between the Canadian Dollar (CAD) and the Cayman Islands Dollar (KYD). It indicates how many KYD are needed to purchase one CAD. The Cayman Islands Dollar is pegged to the US Dollar.,CCY
CADKZT=X,CAD/KZT,CAD,KZT,The exchange rate between the Canadian Dollar (CAD) and the Kazakhstani Tenge (KZT). It indicates how many KZT are needed to purchase one CAD. This rate is relevant for trade and investment between Canada and Kazakhstan.,CCY
CADLAK=X,CAD/LAK,CAD,LAK,The exchange rate between the Canadian Dollar (CAD) and the Lao Kip (LAK). It indicates how many LAK are needed to purchase one CAD. This rate is relevant for trade and investment between Canada and Laos.,CCY
CADLBP=X,CAD/LBP,CAD,LBP,The exchange rate between the Canadian Dollar (CAD) and the Lebanese Pound (LBP). It indicates how many LBP are needed to purchase one CAD. This exchange rate is relevant for financial transactions between Canada and Lebanon.,CCY
CADLKR=X,CAD/LKR,CAD,LKR,The exchange rate between the Canadian Dollar (CAD) and the Sri Lankan Rupee (LKR). It indicates how many LKR are needed to purchase one CAD. It's an important rate for those involved in trade and investment between Canada and Sri Lanka.,CCY
CADLRD=X,CAD/LRD,CAD,LRD,The exchange rate between the Canadian Dollar (CAD) and the Liberian Dollar (LRD). It indicates how many LRD are needed to purchase one CAD. This exchange rate is relevant for financial transactions between Canada and Liberia.,CCY
CADLSL=X,CAD/LSL,CAD,LSL,The exchange rate between the Canadian Dollar (CAD) and the Lesotho Loti (LSL). It indicates how many LSL are needed to purchase one CAD. The Lesotho Loti is pegged to the South African Rand.,CCY
CADLYD=X,CAD/LYD,CAD,LYD,The exchange rate between the Canadian Dollar (CAD) and the Libyan Dinar (LYD). It indicates how many LYD are needed to purchase one CAD. This exchange rate is relevant for financial transactions between Canada and Libya.,CCY
CADMAD=X,CAD/MAD,CAD,MAD,The exchange rate between the Canadian Dollar (CAD) and the Moroccan Dirham (MAD). It indicates how many MAD are needed to purchase one CAD. This rate is relevant for trade and investment between Canada and Morocco.,CCY
CADMDL=X,CAD/MDL,CAD,MDL,The exchange rate between the Canadian Dollar (CAD) and the Moldovan Leu (MDL). It indicates how many MDL are needed to purchase one CAD. It is a relevant rate for those involved in trade and investment between Canada and Moldova.,CCY
CADMGA=X,CAD/MGA,CAD,MGA,The exchange rate between the Canadian Dollar (CAD) and the Malagasy Ariary (MGA). It indicates how many MGA are needed to purchase one CAD. This rate is relevant for trade and financial transactions between Canada and Madagascar.,CCY
CADMKD=X,CAD/MKD,CAD,MKD,The exchange rate between the Canadian Dollar (CAD) and the Macedonian Denar (MKD). It indicates how many MKD are needed to purchase one CAD. This rate is relevant for trade and investment between Canada and North Macedonia.,CCY
CADMMK=X,CAD/MMK,CAD,MMK,The exchange rate between the Canadian Dollar (CAD) and the Myanmar Kyat (MMK). It indicates how many MMK are needed to purchase one CAD. This rate is relevant for trade and investment between Canada and Myanmar.,CCY
CADMNT=X,CAD/MNT,CAD,MNT,The exchange rate between the Canadian Dollar (CAD) and the Mongolian Tögrög (MNT). It indicates how many MNT are needed to purchase one CAD. It is a relevant rate for those involved in trade and investment between Canada and Mongolia.,CCY
CADMOP=X,CAD/MOP,CAD,MOP,"The exchange rate between the Canadian Dollar (CAD) and the Macanese Pataca (MOP). It indicates how many MOP are needed to purchase one CAD. The Macanese Pataca is pegged to the Hong Kong Dollar, which in turn is pegged to the US Dollar.",CCY
CADMRU=X,CAD/MRU,CAD,MRU,The exchange rate between the Canadian Dollar (CAD) and the Mauritanian Ouguiya (MRU). It indicates how many MRU are needed to purchase one CAD. It is a relevant rate for those involved in trade and investment between Canada and Mauritania.,CCY
CADMUR=X,CAD/MUR,CAD,MUR,The exchange rate between the Canadian Dollar (CAD) and the Mauritian Rupee (MUR). It indicates how many MUR are needed to purchase one CAD. It's an important rate for financial and commercial activities between Canada and Mauritius.,CCY
CADMVR=X,CAD/MVR,CAD,MVR,,CCY
CADMWK=X,CAD/MWK,CAD,MWK,,CCY
CADMXN=X,CAD/MXN,CAD,MXN,CAD/MXN represents the exchange rate between the Canadian Dollar (CAD) and the Mexican Peso (MXN). It indicates how many Mexican pesos one Canadian dollar can purchase. Currency exchange rates fluctuate based on various economic factors.,CCY
CADMXX=X,CAD/MXX,CAD,MXX,,CCY
CADMYR=X,CAD/MYR,CAD,MYR,CAD/MYR represents the exchange rate between the Canadian Dollar (CAD) and the Malaysian Ringgit (MYR). It reflects the value of one Canadian dollar in terms of Malaysian Ringgits. Currency valuations are influenced by supply and demand in the foreign exchange market.,CCY
CADMYX=X,CAD/MYX,CAD,MYX,,CCY
CADMZN=X,CAD/MZN,CAD,MZN,,CCY
CADNAD=X,CAD/NAD,CAD,NAD,CAD/NAD represents the exchange rate between the Canadian Dollar (CAD) and the Namibian Dollar (NAD). It shows how many Namibian dollars one Canadian dollar is worth. Exchange rates are affected by economic indicators and market sentiment.,CCY
CADNGN=X,CAD/NGN,CAD,NGN,CAD/NGN represents the exchange rate between the Canadian Dollar (CAD) and the Nigerian Naira (NGN). It specifies the amount of Nigerian Naira obtainable for one Canadian dollar. Currency values fluctuate based on economic conditions and global events.,CCY
CADNIO=X,CAD/NIO,CAD,NIO,CAD/NIO represents the exchange rate between the Canadian Dollar (CAD) and the Nicaraguan Córdoba (NIO). It indicates how many Nicaraguan Córdoba can be exchanged for one Canadian Dollar. These rates are determined by supply and demand dynamics in the foreign exchange market.,CCY
CADNOK=X,CAD/NOK,CAD,NOK,CAD/NOK represents the exchange rate between the Canadian Dollar (CAD) and the Norwegian Krone (NOK). This rate signifies the value of the Canadian dollar in terms of Norwegian Krone. Currency values vary based on economic factors and market activity.,CCY
CADNPR=X,CAD/NPR,CAD,NPR,CAD/NPR represents the exchange rate between the Canadian Dollar (CAD) and the Nepalese Rupee (NPR). It shows the quantity of Nepalese Rupees obtainable for one Canadian Dollar. The exchange rate is determined by factors affecting the supply and demand of both currencies.,CCY
CADNZD=X,CAD/NZD,CAD,NZD,CAD/NZD represents the exchange rate between the Canadian Dollar (CAD) and the New Zealand Dollar (NZD). It indicates the number of New Zealand dollars that can be purchased with one Canadian dollar. Foreign exchange rates are influenced by macroeconomic indicators and market sentiment.,CCY
CADOMR=X,CAD/OMR,CAD,OMR,CAD/OMR represents the exchange rate between the Canadian Dollar (CAD) and the Omani Rial (OMR). It defines how many Omani Rials can be exchanged for one Canadian dollar. These currency exchange rates are subject to fluctuations based on economic forces.,CCY
CADPAB=X,CAD/PAB,CAD,PAB,"CAD/PAB represents the exchange rate between the Canadian Dollar (CAD) and the Panamanian Balboa (PAB). Since the Panamanian Balboa is pegged to the U.S. Dollar at a 1:1 ratio, this rate effectively represents the CAD/USD rate. Currency values are determined by macroeconomic factors and market activity.",CCY
CADPEN=X,CAD/PEN,CAD,PEN,CAD/PEN represents the exchange rate between the Canadian Dollar (CAD) and the Peruvian Sol (PEN). It shows how many Peruvian Soles you can obtain for one Canadian dollar. Exchange rates are affected by economic conditions and global market sentiment.,CCY
CADPGK=X,CAD/PGK,CAD,PGK,CAD/PGK represents the exchange rate between the Canadian Dollar (CAD) and the Papua New Guinean Kina (PGK). It signifies the amount of Papua New Guinean Kina that can be exchanged for one Canadian Dollar. These rates are influenced by the supply and demand of each currency in the foreign exchange market.,CCY
CADPHP=X,CAD/PHP,CAD,PHP,CAD/PHP represents the exchange rate between the Canadian Dollar (CAD) and the Philippine Peso (PHP). It shows how many Philippine Pesos one Canadian dollar can buy. Currency exchange rates are determined by market forces including economic indicators and investor sentiment.,CCY
CADPKR=X,CAD/PKR,CAD,PKR,CAD/PKR represents the exchange rate between the Canadian Dollar (CAD) and the Pakistani Rupee (PKR). It indicates the value of one Canadian Dollar in terms of Pakistani Rupees. These rates fluctuate based on economic factors and international events.,CCY
CADPLN=X,CAD/PLN,CAD,PLN,CAD/PLN represents the exchange rate between the Canadian Dollar (CAD) and the Polish Zloty (PLN). It specifies how many Polish Zloty one Canadian dollar can purchase. Currency exchange rates are affected by economic news and market activity.,CCY
CADPLX=X,CAD/PLX,CAD,PLX,,CCY
CADPYG=X,CAD/PYG,CAD,PYG,CAD/PYG represents the exchange rate between the Canadian Dollar (CAD) and the Paraguayan Guarani (PYG). It indicates the number of Paraguayan Guarani obtainable for one Canadian dollar. These exchange rates are determined by supply and demand factors within the foreign exchange market.,CCY
CADQAR=X,CAD/QAR,CAD,QAR,CAD/QAR represents the exchange rate between the Canadian Dollar (CAD) and the Qatari Riyal (QAR). It indicates how many Qatari Riyals can be purchased with one Canadian dollar. Currency exchange rates are influenced by economic indicators and market sentiment.,CCY
CADRON=X,CAD/RON,CAD,RON,CAD/RON represents the exchange rate between the Canadian Dollar (CAD) and the Romanian Leu (RON). It indicates the amount of Romanian Leu that can be exchanged for one Canadian dollar. These rates are constantly changing based on supply and demand in the foreign exchange market.,CCY
CADRSD=X,CAD/RSD,CAD,RSD,CAD/RSD represents the exchange rate between the Canadian Dollar (CAD) and the Serbian Dinar (RSD). It specifies how many Serbian Dinars one Canadian dollar can purchase. Currency exchange rates are influenced by macroeconomic conditions and market activity.,CCY
CADRUB=X,CAD/RUB,CAD,RUB,CAD/RUB represents the exchange rate between the Canadian Dollar (CAD) and the Russian Ruble (RUB). It shows the number of Russian Rubles that can be exchanged for one Canadian dollar. The exchange rate is impacted by various geopolitical and economic events.,CCY
CADRUX=X,CAD/RUX,CAD,RUX,,CCY
CADRWF=X,CAD/RWF,CAD,RWF,CAD/RWF represents the exchange rate between the Canadian Dollar (CAD) and the Rwandan Franc (RWF). It shows how many Rwandan Francs one Canadian dollar can purchase. Exchange rates fluctuate based on market dynamics and economic factors.,CCY
CADSAR=X,CAD/SAR,CAD,SAR,CAD/SAR represents the exchange rate between the Canadian Dollar (CAD) and the Saudi Arabian Riyal (SAR). It indicates the quantity of Saudi Arabian Riyals that one Canadian Dollar can buy. The exchange rate is influenced by factors affecting the supply and demand of each currency.,CCY
CADSBD=X,CAD/SBD,CAD,SBD,CAD/SBD represents the exchange rate between the Canadian Dollar (CAD) and the Solomon Islands Dollar (SBD). It signifies the number of Solomon Islands Dollars obtainable for one Canadian dollar. These currency exchange rates are affected by market dynamics and economic performance.,CCY
CADSCR=X,CAD/SCR,CAD,SCR,CAD/SCR represents the exchange rate between the Canadian Dollar (CAD) and the Seychellois Rupee (SCR). It indicates how many Seychellois Rupees can be purchased with one Canadian dollar. These exchange rates are influenced by the economic performance of both Canada and Seychelles.,CCY
CADSDG=X,CAD/SDG,CAD,SDG,,CCY
CADSEK=X,CAD/SEK,CAD,SEK,CAD/SEK represents the exchange rate between the Canadian Dollar (CAD) and the Swedish Krona (SEK). It shows the number of Swedish Krona that can be exchanged for one Canadian dollar. Currency exchange rates are influenced by factors such as economic indicators and interest rates.,CCY
CADSGD=X,CAD/SGD,CAD,SGD,CAD/SGD represents the exchange rate between the Canadian Dollar (CAD) and the Singapore Dollar (SGD). It indicates how many Singapore dollars can be obtained for one Canadian dollar. These rates are determined by market forces and influenced by economic events.,CCY
CADSHP=X,CAD/SHP,CAD,SHP,CAD/SHP represents the exchange rate between the Canadian Dollar (CAD) and the Saint Helena Pound (SHP). It specifies how many Saint Helena Pounds one Canadian dollar can buy. Currency exchange rates depend on supply and demand in the foreign exchange market.,CCY
CADSLL=X,CAD/SLL,CAD,SLL,,CCY
CADSOS=X,CAD/SOS,CAD,SOS,CAD/SOS represents the exchange rate between the Canadian Dollar (CAD) and the Somali Shilling (SOS). It shows how many Somali Shillings one Canadian dollar can purchase. Currency exchange rates depend on market factors.,CCY
CADSRD=X,CAD/SRD,CAD,SRD,CAD/SRD represents the exchange rate between the Canadian Dollar (CAD) and the Surinamese Dollar (SRD). It indicates the value of one Canadian Dollar in terms of Surinamese Dollars. These exchange rates are influenced by economic and political factors in both countries.,CCY
CADSTN=X,CAD/STN,CAD,STN,,CCY
CADSVC=X,CAD/SVC,CAD,SVC,,CCY
CADSYP=X,CAD/SYP,CAD,SYP,,CCY
CADSZL=X,CAD/SZL,CAD,SZL,,CCY
CADTHB=X,CAD/THB,CAD,THB,CAD/THB represents the exchange rate between the Canadian Dollar (CAD) and the Thai Baht (THB). It indicates how many Thai Baht can be obtained for one Canadian Dollar. These rates are affected by economic indicators and market sentiment.,CCY
CADTHX=X,CAD/THX,CAD,THX,,CCY
CADTJS=X,CAD/TJS,CAD,TJS,,CCY
CADTMT=X,CAD/TMT,CAD,TMT,,CCY
CADTND=X,CAD/TND,CAD,TND,CAD/TND represents the exchange rate between the Canadian Dollar (CAD) and the Tunisian Dinar (TND). It shows how many Tunisian Dinars can be exchanged for one Canadian dollar. Currency exchange rates are influenced by the economic performance of both countries.,CCY
CADTOP=X,CAD/TOP,CAD,TOP,,CCY
CADTRY=X,CAD/TRY,CAD,TRY,CAD/TRY represents the exchange rate between the Canadian Dollar (CAD) and the Turkish Lira (TRY). It shows how many Turkish Lira can be exchanged for one Canadian dollar. The exchange rate is affected by the economic and political environment in both countries.,CCY
CADTTD=X,CAD/TTD,CAD,TTD,CAD/TTD represents the exchange rate between the Canadian Dollar (CAD) and the Trinidad and Tobago Dollar (TTD). It shows the number of Trinidad and Tobago Dollars obtainable for one Canadian dollar. These rates are influenced by economic factors affecting both Canada and Trinidad and Tobago.,CCY
CADTWD=X,CAD/TWD,CAD,TWD,CAD/TWD represents the exchange rate between the Canadian Dollar (CAD) and the New Taiwan Dollar (TWD). It indicates the number of New Taiwan Dollars one Canadian dollar can purchase. These currency values fluctuate based on global market conditions and economic performance.,CCY
CADTZS=X,CAD/TZS,CAD,TZS,CAD/TZS represents the exchange rate between the Canadian Dollar (CAD) and the Tanzanian Shilling (TZS). It specifies how many Tanzanian Shillings you can obtain for one Canadian Dollar. Currency exchange rates depend on factors like economic stability and trade balances.,CCY
CADUAH=X,CAD/UAH,CAD,UAH,,CCY
CADUGX=X,CAD/UGX,CAD,UGX,CAD/UGX represents the exchange rate between the Canadian Dollar (CAD) and the Ugandan Shilling (UGX). It indicates how many Ugandan Shillings can be purchased with one Canadian dollar. These exchange rates are impacted by economic factors and market sentiment.,CCY
CADUSD=X,CAD/USD,CAD,USD,CAD/USD represents the exchange rate between the Canadian Dollar (CAD) and the United States Dollar (USD). It indicates how many U.S. dollars one Canadian dollar can purchase. This is a widely followed exchange rate that is influenced by economic factors in both countries.,CCY
CADUYU=X,CAD/UYU,CAD,UYU,CAD/UYU represents the exchange rate between the Canadian Dollar (CAD) and the Uruguayan Peso (UYU). It indicates how many Uruguayan Pesos can be purchased with one Canadian Dollar. These exchange rates are determined by the supply and demand of the respective currencies.,CCY
CADUZS=X,CAD/UZS,CAD,UZS,CAD/UZS represents the exchange rate between the Canadian Dollar (CAD) and the Uzbekistan Som (UZS). It shows how many Uzbekistan Som can be exchanged for one Canadian Dollar. Currency values are influenced by various macroeconomic factors and market dynamics.,CCY
CADVES=X,CAD/VES,CAD,VES,CAD/VES represents the exchange rate between the Canadian Dollar (CAD) and the Venezuelan Bolívar Soberano (VES). It indicates the number of Venezuelan Bolívar Soberano that can be exchanged for one Canadian dollar. This exchange rate is heavily influenced by Venezuela's economic situation.,CCY
CADVND=X,CAD/VND,CAD,VND,CAD/VND represents the exchange rate between the Canadian Dollar (CAD) and the Vietnamese Dong (VND). It shows how many Vietnamese Dong can be exchanged for one Canadian Dollar. These exchange rates fluctuate based on market activity.,CCY
CADVUV=X,CAD/VUV,CAD,VUV,,CCY
CADWST=X,CAD/WST,CAD,WST,,CCY
CADXAF=X,CAD/XAF,CAD,XAF,CAD/XAF represents the exchange rate between the Canadian Dollar (CAD) and the Central African Franc (XAF). It shows how many Central African Francs can be obtained for one Canadian Dollar. These rates are affected by economic conditions and international events.,CCY
CADXCD=X,CAD/XCD,CAD,XCD,CAD/XCD represents the exchange rate between the Canadian Dollar (CAD) and the East Caribbean Dollar (XCD). It signifies how many East Caribbean Dollars one Canadian Dollar can buy. Exchange rates depend on macroeconomic factors of involved economies.,CCY
CADXCU=X,CAD/XCU,CAD,XCU,,CCY
