symbol,name,currency,summary,family,exchange
FPOXX,Goldman Sachs Financial Square Prime Obligations Fund,USD,"Goldman Sachs Financial Square Prime Obligations Fund is a money market fund that seeks to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing in a diversified portfolio of high-quality, short-term money market instruments. The fund invests primarily in prime obligations, which are short-term debt securities issued by corporations and banks. Goldman Sachs Asset Management, located in New York City, manages the fund.",Goldman Sachs Trust,NAS
FPPXX,Government Obligations Fund,USD,"Government Obligations Fund invests primarily in obligations issued or guaranteed as to principal and interest by the U.S. government, its agencies, or instrumentalities, seeking to provide current income while maintaining liquidity and preserving capital. This fund focuses on the safety and stability associated with government-backed securities. The fund is managed with the goal of providing a low-risk investment option.","First American Funds, Inc.",NAS
FPTXX,Fidelity Pennsylvania Municipal Money Market Fund,USD,"Fidelity Pennsylvania Municipal Money Market Fund aims to provide current income exempt from federal and Pennsylvania state income taxes, consistent with preservation of capital and liquidity. This fund invests primarily in municipal securities issued by the Commonwealth of Pennsylvania and its political subdivisions. Fidelity Investments, headquartered in Boston, manages the fund.",Fidelity Municipal Trust II,NAS
FPUXX,Retail Prime Obligations Fund,USD,"Retail Prime Obligations Fund is a money market fund that seeks to provide current income consistent with the preservation of capital and liquidity by investing in a diversified portfolio of high-quality, short-term money market instruments. The fund primarily invests in prime obligations, which are short-term debt securities issued by corporations and banks, and is geared towards retail investors. The fund aims to maintain a stable net asset value while providing a competitive yield.","First American Funds, Inc.",NAS
FPXXX,Federal Trust Fund,USD,"Federal Trust Fund is designed to provide current income consistent with the preservation of capital and liquidity by investing in short-term U.S. government securities. The fund invests primarily in obligations issued or guaranteed by the U.S. government, its agencies, or instrumentalities. The investment objective of this fund is to generate income while maintaining a high degree of safety.",BlackRock Liquidity Funds,NAS
FPZXX,First American Institutional Pr,USD,"First American Institutional Pr is a money market fund focusing on providing current income consistent with preserving capital and liquidity. The fund invests primarily in high-quality, short-term money market instruments tailored for institutional investors. First American Funds manages the fund with the goal of a stable net asset value.",,NAS
FRAXX,Goldman Sachs Financial Square Treasury Instruments Fund,USD,"Goldman Sachs Financial Square Treasury Instruments Fund is a money market fund that seeks to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing exclusively in U.S. Treasury securities and repurchase agreements collateralized by such securities. The fund invests in direct obligations of the U.S. Treasury, focusing on safety and liquidity. Goldman Sachs Asset Management, located in New York City, manages the fund.",Goldman Sachs Trust,NAS
FRBXX,Treasury Portfolio,USD,"Treasury Portfolio invests primarily in U.S. Treasury securities and repurchase agreements backed by such securities, aiming to provide current income consistent with capital preservation and liquidity. The fund focuses on the safety and stability associated with direct U.S. Treasury obligations. The fund aims to provide a low-risk investment option for investors.",Fidelity Colchester Street Trust,NAS
FREXX,,USD,,,NAS
FRFXX,Federated Hermes Capital Reserve Fund,USD,"Federated Hermes Capital Reserve Fund is a money market fund that seeks to maximize current income consistent with the preservation of capital and liquidity by investing in a diversified portfolio of short-term money market instruments. The fund invests in high-quality, short-term obligations, focusing on maintaining a stable net asset value. Federated Hermes, headquartered in Pittsburgh, manages the fund with the goal of offering a competitive yield.",Money Market Obligations Trust,NAS
FRGXX,Government Portfolio,USD,"Government Portfolio invests primarily in obligations issued or guaranteed as to principal and interest by the U.S. government, its agencies, or instrumentalities, seeking to provide current income while maintaining liquidity and preserving capital. This fund focuses on the safety and stability associated with government-backed securities. The fund is managed with the goal of providing a low-risk investment option.",Fidelity Colchester Street Trust,NAS
FRNXX,,USD,,,NAS
FRQXX,Franklin U.S. Government Money Fund,USD,"Franklin U.S. Government Money Fund is a money market fund that seeks to provide investors with high current income, preservation of capital, and liquidity by investing primarily in U.S. government securities. The fund invests in obligations issued or guaranteed by the U.S. government or its agencies. Franklin Templeton Investments, headquartered in San Mateo, California, manages the fund.",,NAS
FRRXX,Franklin U.S. Government Money Fund,USD,"Franklin U.S. Government Money Fund is a money market fund that seeks to provide investors with high current income, preservation of capital, and liquidity by investing primarily in U.S. government securities. The fund invests in obligations issued or guaranteed by the U.S. government or its agencies. Franklin Templeton Investments, headquartered in San Mateo, California, manages the fund.",,NAS
FRSXX,Treasury Only Portfolio,USD,"Treasury Only Portfolio invests solely in U.S. Treasury securities, seeking to provide current income while maintaining liquidity and preserving capital. This fund focuses on the safety and stability associated with direct U.S. Treasury securities. The fund aims to provide a low-risk option for investors seeking exposure to short-term government debt.",Fidelity Colchester Street Trust,NAS
FSAXX,Fidelity Arizona Municipal Money Market Fund,USD,"Fidelity Arizona Municipal Money Market Fund seeks to provide as high a level of current income exempt from federal and Arizona state income taxes as is consistent with the preservation of capital and liquidity. The fund invests primarily in municipal securities issued by the State of Arizona and its political subdivisions. Fidelity Investments, headquartered in Boston, manages the fund.",Fidelity Union Street Trust II,NAS
FSBXX,Fidelity California AMT Tax-Free Money Market Fund,USD,"Fidelity California AMT Tax-Free Money Market Fund seeks to provide as high a level of current income exempt from federal and California state income taxes as is consistent with preservation of capital and liquidity while minimizing exposure to the alternative minimum tax (AMT). The fund invests primarily in short-term municipal securities issued by California and its political subdivisions that are exempt from federal and California state income taxes and are not subject to the AMT. Fidelity Investments, located in Boston, manages this fund.",Fidelity California Municipal Trust II,NAS
FSGXX,Goldman Sachs Financial Square Government Fund,USD,"Goldman Sachs Financial Square Government Fund is a money market fund that seeks to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing exclusively in U.S. government securities and repurchase agreements collateralized by such securities. The fund invests in obligations issued or guaranteed by the U.S. government, its agencies, or instrumentalities, or repurchase agreements collateralized by such obligations, focusing on safety and liquidity. Goldman Sachs Asset Management, located in New York City, manages the fund.",Goldman Sachs Trust,NAS
FSIXX,Treasury Only Portfolio,USD,"Treasury Only Portfolio invests solely in U.S. Treasury securities, seeking to provide current income while maintaining liquidity and preserving capital. This fund focuses on the safety and stability associated with direct U.S. Treasury securities. The fund aims to provide a low-risk option for investors seeking exposure to short-term government debt.",Fidelity Colchester Street Trust,NAS
FSJXX,Fidelity New Jersey AMT Tax-Free Money Market Fund,USD,"Fidelity New Jersey AMT Tax-Free Money Market Fund aims to provide current income that is exempt from federal and New Jersey state income taxes while minimizing exposure to the federal alternative minimum tax (AMT). This fund invests in municipal securities issued by the State of New Jersey and its political subdivisions that are tax-exempt and AMT-free. Fidelity Investments, based in Boston, oversees the fund.",Fidelity Court Street Trust II,NAS
FSKXX,Fidelity New Jersey AMT Tax-Free Money Market Fund,USD,"Fidelity New Jersey AMT Tax-Free Money Market Fund aims to provide current income that is exempt from federal and New Jersey state income taxes while minimizing exposure to the federal alternative minimum tax (AMT). This fund invests in municipal securities issued by the State of New Jersey and its political subdivisions that are tax-exempt and AMT-free. Fidelity Investments, based in Boston, oversees the fund.",Fidelity Court Street Trust II,NAS
FSMXX,Goldman Sachs Financial Square Money Market Fund,USD,"Goldman Sachs Financial Square Money Market Fund is a money market fund that seeks to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing in a diversified portfolio of high-quality, short-term money market instruments. The fund invests in various money market securities, including U.S. government securities, corporate debt, and repurchase agreements. Goldman Sachs Asset Management, located in New York City, manages the fund.",Goldman Sachs Trust,NAS
FSNXX,Fidelity New York AMT Tax-Free Money Market Fund,USD,"Fidelity New York AMT Tax-Free Money Market Fund seeks to provide as high a level of current income exempt from federal and New York state income taxes as is consistent with preservation of capital and liquidity while minimizing exposure to the alternative minimum tax (AMT). The fund invests primarily in short-term municipal securities issued by New York State and its political subdivisions that are exempt from federal and New York state income taxes and are not subject to the AMT. Fidelity Investments, located in Boston, manages this fund.",Fidelity New York Municipal Trust II,NAS
FSOXX,Goldman Sachs Financial Square Government Fund,USD,"Goldman Sachs Financial Square Government Fund is a money market fund that seeks to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing exclusively in U.S. government securities and repurchase agreements collateralized by such securities. The fund invests in obligations issued or guaranteed by the U.S. government, its agencies, or instrumentalities, or repurchase agreements collateralized by such obligations, focusing on safety and liquidity. Goldman Sachs Asset Management, located in New York City, manages the fund.",Goldman Sachs Trust,NAS
FSPXX,Fidelity California AMT Tax-Free Money Market Fund,USD,"Fidelity California AMT Tax-Free Money Market Fund seeks to provide as high a level of current income exempt from federal and California state income taxes as is consistent with preservation of capital and liquidity while minimizing exposure to the alternative minimum tax (AMT). The fund invests primarily in short-term municipal securities issued by California and its political subdivisions that are exempt from federal and California state income taxes and are not subject to the AMT. Fidelity Investments, located in Boston, manages this fund.",Fidelity California Municipal Trust II,NAS
FSRXX,Treasury Fund,USD,"Treasury Fund is a money market fund that invests primarily in U.S. Treasury securities and repurchase agreements backed by those securities, seeking to provide current income consistent with preserving capital and maintaining liquidity. This fund prioritizes safety by focusing on obligations of the U.S. government. The fund's objective is to maximize income while minimizing risk.",Fidelity Newbury Street Trust,NAS
FSSXX,Fidelity California AMT Tax-Free Money Market Fund,USD,"Fidelity California AMT Tax-Free Money Market Fund seeks to provide as high a level of current income exempt from federal and California state income taxes as is consistent with preservation of capital and liquidity while minimizing exposure to the alternative minimum tax (AMT). The fund invests primarily in short-term municipal securities issued by California and its political subdivisions that are exempt from federal and California state income taxes and are not subject to the AMT. Fidelity Investments, located in Boston, manages this fund.",Fidelity California Municipal Trust II,NAS
FSUXX,,USD,,,NAS
FSVXX,Goldman Sachs Financial Square Money Market Fund,USD,"Goldman Sachs Financial Square Money Market Fund is a money market fund that seeks to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing in a diversified portfolio of high-quality, short-term money market instruments. The fund invests in various money market securities, including U.S. government securities, corporate debt, and repurchase agreements. Goldman Sachs Asset Management, located in New York City, manages the fund.",Goldman Sachs Trust,NAS
FSXXX,Tax-Exempt Portfolio,USD,Tax-Exempt Portfolio seeks to provide as high a level of current income exempt from federal income tax as is consistent with preservation of capital and liquidity. The fund invests primarily in short-term municipal securities that are exempt from federal income tax. It's designed for investors looking for tax-advantaged income while maintaining a stable net asset value.,Fidelity Colchester Street Trust,NAS
FTAXX,Retail Tax Free Obligations Fund,USD,,"First American Funds, Inc.",NAS
FTCXX,Tax-Exempt Portfolio,USD,Tax-Exempt Portfolio seeks to provide as high a level of current income exempt from federal income tax as is consistent with preservation of capital and liquidity. The fund invests primarily in short-term municipal securities that are exempt from federal income tax. It's designed for investors looking for tax-advantaged income while maintaining a stable net asset value.,Fidelity Colchester Street Trust,NAS
FTDXX,Treasury Obligations Fund,USD,"Treasury Obligations Fund invests primarily in obligations issued or guaranteed as to principal and interest by the U.S. Treasury, seeking to provide current income while maintaining liquidity and preserving capital. This fund focuses on the safety and stability associated with direct U.S. Treasury securities. The fund aims to provide a low-risk option for investors seeking exposure to short-term government debt.","First American Funds, Inc.",NAS
FTEXX,Fidelity Municipal Money Market Fund,USD,"Fidelity Municipal Money Market Fund aims to provide current income exempt from federal income tax consistent with the preservation of capital and liquidity. The fund invests primarily in municipal securities, offering tax-advantaged income for investors. The fund seeks to maintain a stable net asset value of $1.00 per share.",Fidelity Union Street Trust II,NAS
FTFXX,Federated Institutional Tax-Free Cash Trust,USD,"Federated Institutional Tax-Free Cash Trust is a money market fund that invests primarily in short-term municipal obligations, seeking current income exempt from federal income tax. The fund aims to provide a stable net asset value while providing tax-advantaged income to institutional investors. Federated Hermes, located in Pittsburgh, PA, manages this fund.",Money Market Obligations Trust,NAS
FTGXX,Government Obligations Fund,USD,"Government Obligations Fund invests primarily in obligations issued or guaranteed as to principal and interest by the U.S. government, its agencies, or instrumentalities, seeking to provide current income while maintaining liquidity and preserving capital. This fund focuses on the safety and stability associated with government-backed securities. The fund is managed with the goal of providing a low-risk investment option.","First American Funds, Inc.",NAS
FTIXX,Goldman Sachs Financial Square Treasury Instruments Fund,USD,"Goldman Sachs Financial Square Treasury Instruments Fund is a money market fund that seeks to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing exclusively in U.S. Treasury securities and repurchase agreements collateralized by such securities. The fund invests in direct obligations of the U.S. Treasury, focusing on safety and liquidity. Goldman Sachs Asset Management, located in New York City, manages the fund.",Goldman Sachs Trust,NAS
FTJXX,Retail Tax Free Obligations Fund,USD,Retail Tax Free Obligations Fund aims to provide current income exempt from federal income tax consistent with the preservation of capital and liquidity. The fund invests primarily in municipal securities that are exempt from federal income tax. It's designed for retail investors seeking tax-advantaged income while maintaining a stable net asset value.,"First American Funds, Inc.",NAS
FTKXX,U.S. Treasury Money Market Fund,USD,"U.S. Treasury Money Market Fund invests exclusively in securities issued or guaranteed by the U.S. Treasury, aiming to provide investors with current income consistent with capital preservation and liquidity. The fund focuses on the highest credit quality by limiting its investments solely to U.S. Treasury obligations. This fund offers a low-risk option for investors seeking maximum safety in a money market fund.","First American Funds, Inc.",NAS
FTOXX,Goldman Sachs Financial Square Treasury Obligations Fund,USD,"Goldman Sachs Financial Square Treasury Obligations Fund is a money market fund that seeks to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing exclusively in U.S. Treasury securities and repurchase agreements collateralized by such securities. The fund invests in direct obligations of the U.S. Treasury, focusing on safety and liquidity. Goldman Sachs Asset Management, located in New York City, manages the fund.",Goldman Sachs Trust,NAS
FTQXX,Franklin U.S. Government Money Fund,USD,"Franklin U.S. Government Money Fund is a money market fund that seeks to provide investors with high current income, preservation of capital, and liquidity by investing primarily in U.S. government securities. The fund invests in obligations issued or guaranteed by the U.S. government or its agencies. Franklin Templeton Investments, headquartered in San Mateo, California, manages the fund.",,NAS
FTRXX,HSBC U.S. Government Money Market Fund,USD,"HSBC U.S. Government Money Market Fund seeks to provide current income consistent with the preservation of capital and maintenance of liquidity by investing primarily in U.S. government securities. The fund invests in obligations issued or guaranteed by the U.S. government, its agencies, or instrumentalities, and repurchase agreements backed by such securities. HSBC Asset Management, with headquarters in London, manages the fund.",HSBC Funds,NAS
FTTXX,Fifth Third US Treasury Money Market Fund,USD,"Fifth Third US Treasury Money Market Fund seeks to provide current income consistent with the preservation of capital and liquidity by investing primarily in U.S. Treasury securities. The fund invests in obligations issued or guaranteed by the U.S. government. Fifth Third Asset Management, located in Cincinnati, Ohio, manages this fund.",Fifth Third Funds,NAS
FTUXX,Treasury Portfolio,USD,"Treasury Portfolio invests primarily in U.S. Treasury securities and repurchase agreements backed by such securities, aiming to provide current income consistent with capital preservation and liquidity. The fund focuses on the safety and stability associated with direct U.S. Treasury obligations. The fund aims to provide a low-risk investment option for investors.",Fidelity Colchester Street Trust,NAS
FTVXX,Treasury Portfolio,USD,"Treasury Portfolio invests primarily in U.S. Treasury securities and repurchase agreements backed by such securities, aiming to provide current income consistent with capital preservation and liquidity. The fund focuses on the safety and stability associated with direct U.S. Treasury obligations. The fund aims to provide a low-risk investment option for investors.",Fidelity Colchester Street Trust,NAS
FTXXX,Goldman Sachs Investor Tax-Exempt Money Market Fund,USD,"Goldman Sachs Investor Tax-Exempt Money Market Fund is a money market fund that seeks to provide as high a level of current income exempt from federal income tax as is consistent with preservation of capital and liquidity. The fund invests primarily in short-term municipal securities that are exempt from federal income tax, catering to investors seeking tax-advantaged income. Goldman Sachs Asset Management, based in New York City, manages the fund.",Goldman Sachs Trust,NAS
FTYXX,Treasury Only Portfolio,USD,"Treasury Only Portfolio invests solely in U.S. Treasury securities, seeking to provide current income while maintaining liquidity and preserving capital. This fund focuses on the safety and stability associated with direct U.S. Treasury securities. The fund aims to provide a low-risk option for investors seeking exposure to short-term government debt.",Fidelity Colchester Street Trust,NAS
FTZXX,Retail Tax Free Obligations Fund,USD,Retail Tax Free Obligations Fund aims to provide current income exempt from federal income tax consistent with the preservation of capital and liquidity. The fund invests primarily in municipal securities that are exempt from federal income tax. It's designed for retail investors seeking tax-advantaged income while maintaining a stable net asset value.,"First American Funds, Inc.",NAS
FUGXX,Invesco Premier U.S. Government Money Portfolio,USD,"Invesco Premier U.S. Government Money Portfolio is a money market fund that seeks to provide current income consistent with the preservation of capital and maintenance of liquidity by investing primarily in U.S. government securities. The fund invests in obligations issued or guaranteed by the U.S. government, its agencies, or instrumentalities. Invesco, headquartered in Atlanta, Georgia, manages the fund.",Invesco Treasurers Series Trust,NAS
FUIXX,U.S. Treasury Money Market Fund,USD,"U.S. Treasury Money Market Fund invests exclusively in securities issued or guaranteed by the U.S. Treasury, aiming to provide investors with current income consistent with capital preservation and liquidity. The fund focuses on the highest credit quality by limiting its investments solely to U.S. Treasury obligations. This fund offers a low-risk option for investors seeking maximum safety in a money market fund.","First American Funds, Inc.",NAS
FUPXX,Treasury Obligations Fund,USD,"Treasury Obligations Fund invests primarily in obligations issued or guaranteed as to principal and interest by the U.S. Treasury, seeking to provide current income while maintaining liquidity and preserving capital. This fund focuses on the safety and stability associated with direct U.S. Treasury securities. The fund aims to provide a low-risk option for investors seeking exposure to short-term government debt.","First American Funds, Inc.",NAS
FUSXX,,USD,,,NAS
FUZXX,Treasury Obligations Fund,USD,"Treasury Obligations Fund invests primarily in obligations issued or guaranteed as to principal and interest by the U.S. Treasury, seeking to provide current income while maintaining liquidity and preserving capital. This fund focuses on the safety and stability associated with direct U.S. Treasury securities. The fund aims to provide a low-risk option for investors seeking exposure to short-term government debt.","First American Funds, Inc.",NAS
FVAXX,Goldman Sachs Financial Square Federal Fund,USD,"Goldman Sachs Financial Square Federal Fund is a money market fund seeking to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing exclusively in U.S. government securities and repurchase agreements collateralized by such securities. The fund's investments are limited to obligations issued or guaranteed by the U.S. government, its agencies, or instrumentalities, or repurchase agreements collateralized by such obligations, focusing on safety and liquidity. Goldman Sachs Asset Management, located in New York City, manages the fund.",Goldman Sachs Trust,NAS
FVIXX,Government Obligations Fund,USD,"Government Obligations Fund invests primarily in obligations issued or guaranteed as to principal and interest by the U.S. government, its agencies, or instrumentalities, seeking to provide current income while maintaining liquidity and preserving capital. This fund focuses on the safety and stability associated with government-backed securities. The fund is managed with the goal of providing a low-risk investment option.","First American Funds, Inc.",NAS
FVSXX,Goldman Sachs Financial Square Federal Fund,USD,"Goldman Sachs Financial Square Federal Fund is a money market fund seeking to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing exclusively in U.S. government securities and repurchase agreements collateralized by such securities. The fund's investments are limited to obligations issued or guaranteed by the U.S. government, its agencies, or instrumentalities, or repurchase agreements collateralized by such obligations, focusing on safety and liquidity. Goldman Sachs Asset Management, located in New York City, manages the fund.",Goldman Sachs Trust,NAS
FXAXX,,USD,,,NAS
FXFXX,Treasury Obligations Fund,USD,"Treasury Obligations Fund invests primarily in obligations issued or guaranteed as to principal and interest by the U.S. Treasury, seeking to provide current income while maintaining liquidity and preserving capital. This fund focuses on the safety and stability associated with direct U.S. Treasury securities. The fund aims to provide a low-risk option for investors seeking exposure to short-term government debt.","First American Funds, Inc.",NAS
FXIXX,,USD,,,NAS
FXPXX,,USD,,,NAS
FXRXX,U.S. Treasury Money Market Fund,USD,"U.S. Treasury Money Market Fund invests exclusively in securities issued or guaranteed by the U.S. Treasury, aiming to provide investors with current income consistent with capital preservation and liquidity. The fund focuses on the highest credit quality by limiting its investments solely to U.S. Treasury obligations. This fund offers a low-risk option for investors seeking maximum safety in a money market fund.","First American Funds, Inc.",NAS
FXSXX,,USD,,,NAS
FXTXX,,USD,,,NAS
FYAXX,Goldman Sachs Financial Square Treasury Obligations Fund,USD,"Goldman Sachs Financial Square Treasury Obligations Fund is a money market fund that seeks to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing exclusively in U.S. Treasury securities and repurchase agreements collateralized by such securities. The fund invests in direct obligations of the U.S. Treasury, focusing on safety and liquidity. Goldman Sachs Asset Management, located in New York City, manages the fund.",Goldman Sachs Trust,NAS
FYRXX,Retail Prime Obligations Fund,USD,"Retail Prime Obligations Fund is a money market fund that seeks to provide current income consistent with the preservation of capital and liquidity by investing in a diversified portfolio of high-quality, short-term money market instruments. The fund primarily invests in prime obligations, which are short-term debt securities issued by corporations and banks, and is geared towards retail investors. The fund aims to maintain a stable net asset value while providing a competitive yield.","First American Funds, Inc.",NAS
FYSXX,Goldman Sachs Financial Square Treasury Instruments Fund,USD,"Goldman Sachs Financial Square Treasury Instruments Fund is a money market fund that seeks to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing exclusively in U.S. Treasury securities and repurchase agreements collateralized by such securities. The fund invests in direct obligations of the U.S. Treasury, focusing on safety and liquidity. Goldman Sachs Asset Management, located in New York City, manages the fund.",Goldman Sachs Trust,NAS
FZAXX,Fidelity Government Money Market Fund,USD,"Fidelity Government Money Market Fund seeks to provide as high a level of current income as is consistent with the preservation of capital and liquidity by investing in U.S. government securities. The fund invests primarily in obligations issued or guaranteed by the U.S. government, its agencies, or instrumentalities, and repurchase agreements backed by such securities. Fidelity Investments, headquartered in Boston, manages the fund.",Fidelity Hereford Street Trust,NAS
FZBXX,Fidelity Government Money Market Fund,USD,Fidelity Government Money Market,Fidelity Hereford Street Trust,NAS
FZCXX,Fidelity Government Money Market Fund,USD,The fund seeks to obtain as high a level of current income as is consistent with the preservation of capital and liquidity by investing exclusively in U.S. government securities and repurchase agreements collateralized by these securities. It operates as a government money market fund. The headquarter location is not explicitly mentioned in the provided context.,Fidelity Hereford Street Trust,NAS
FZDXX,Fidelity Money Market Fund,USD,"Fidelity Money Market Fund seeks to obtain as high a level of current income as is consistent with the preservation of capital and liquidity. The fund invests in a variety of short-term, high-quality money market instruments and conducts business from its headquarters in Boston, Massachusetts. It aims to maintain a stable net asset value, typically $1.00 per share.",Fidelity Hereford Street Trust,NAS
FZEXX,Tax-Exempt Fund,USD,,Fidelity Newbury Street Trust,NAS
FZFXX,Treasury Fund,USD,"Treasury Fund invests in U.S. Treasury securities and repurchase agreements collateralized by U.S. Treasury securities. The fund seeks to provide current income while maintaining liquidity and a stable share price, operating under guidelines set by the Securities and Exchange Commission. This fund is managed by Fidelity Investments, headquartered in Boston, Massachusetts.",Fidelity Newbury Street Trust,NAS
FZGXX,Fidelity Government Money Market Fund,USD,"Fidelity Government Money Market Fund seeks to obtain as high a level of current income as is consistent with the preservation of capital and liquidity by investing in government securities. The fund invests primarily in short-term U.S. government securities and repurchase agreements backed by these securities. It is managed by Fidelity Investments, based in Boston, Massachusetts, and aims to maintain a stable net asset value.",Fidelity Hereford Street Trust,NAS
FZRXX,Retail Prime Obligations Fund,USD,"Retail Prime Obligations Fund seeks current income consistent with maintaining liquidity and preserving capital, investing in high-quality, short-term money market instruments. This fund primarily focuses on obligations of banks and corporations based in the United States, aiming to offer competitive yields. It is managed and distributed by Fidelity Investments, a large financial services company headquartered in Boston, Massachusetts.","First American Funds, Inc.",NAS
GABXX,The Gabelli U.S. Treasury Money Market Fund,USD,"The Gabelli U.S. Treasury Money Market Fund seeks to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing exclusively in short-term U.S. Treasury securities. The fund aims to provide a high degree of safety and liquidity. Gabelli Funds, LLC, based in Rye, New York, manages the fund.",The Gabelli Money Market Funds,NAS
GBAXX,The Gabelli U.S. Treasury Money Market Fund,USD,"The Gabelli U.S. Treasury Money Market Fund seeks to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing exclusively in short-term U.S. Treasury securities. The fund aims to provide a high degree of safety and liquidity. Gabelli Funds, LLC, based in Rye, New York, manages the fund.",The Gabelli Money Market Funds,NAS
GBCXX,The Gabelli U.S. Treasury Money Market Fund,USD,"The Gabelli U.S. Treasury Money Market Fund seeks to maximize current income to the extent consistent with the preservation of capital and maintenance of liquidity by investing exclusively in short-term U.S. Treasury securities. The fund aims to provide a high degree of safety and liquidity. Gabelli Funds, LLC, based in Rye, New York, manages the fund.",The Gabelli Money Market Funds,NAS
GBMXX,"General Municipal Money Market Funds, Inc.",USD,"General Municipal Money Market Funds, Inc. invests in short-term municipal securities. The fund seeks to provide tax-exempt income while preserving capital and maintaining liquidity. The fund is part of a suite of funds managed to provide investors with options for various investment goals and risk tolerances.",,NAS
GBRXX,Goldman Sachs Financial Square Prime Obligations Fund,USD,"Goldman Sachs Financial Square Prime Obligations Fund invests primarily in U.S. dollar-denominated obligations of domestic and foreign banks and corporations. The fund seeks to maximize current income to the extent consistent with the preservation of capital and the maintenance of liquidity. Goldman Sachs Asset Management, headquartered in New York, manages the fund.",Goldman Sachs Trust,NAS
GCFXX,Goldman Sachs Financial Square Federal Fund,USD,"Goldman Sachs Financial Square Federal Fund invests primarily in securities issued or guaranteed by the U.S. government or its agencies and instrumentalities, and repurchase agreements secured by such securities. The fund seeks to maximize current income to the extent consistent with the preservation of capital and the maintenance of liquidity. Goldman Sachs Asset Management, based in New York City, manages the fund.",Goldman Sachs Trust,NAS
GCGXX,Goldman Sachs Financial Square Government Fund,USD,"Goldman Sachs Financial Square Government Fund seeks to maximize current income to the extent consistent with preservation of capital and liquidity by investing in government securities. The fund invests primarily in securities issued or guaranteed by the U.S. government or its agencies and repurchase agreements secured by such securities. It is managed by Goldman Sachs Asset Management, headquartered in New York City.",Goldman Sachs Trust,NAS
GCIXX,Goldman Sachs Financial Square Treasury Instruments Fund,USD,"Goldman Sachs Financial Square Treasury Instruments Fund invests primarily in U.S. Treasury securities, repurchase agreements collateralized by U.S. Treasury securities, and cash. The fund aims to provide current income while maintaining liquidity and preserving capital. The fund is managed by Goldman Sachs Asset Management, based in New York.",Goldman Sachs Trust,NAS
GCKXX,Goldman Sachs Financial Square Money Market Fund,USD,"Goldman Sachs Financial Square Money Market Fund seeks to maximize current income to the extent consistent with preservation of capital and liquidity. The fund invests in a broad range of money market instruments. Goldman Sachs Asset Management, headquartered in New York, manages the fund.",Goldman Sachs Trust,NAS
GCNXX,"BOFA FDS SRS TR, BOFA CT MUNI R",USD,,,NAS
GCPXX,Goldman Sachs Financial Square Prime Obligations Fund,USD,"Goldman Sachs Financial Square Prime Obligations Fund invests primarily in U.S. dollar-denominated obligations of domestic and foreign banks and corporations. The fund seeks to maximize current income to the extent consistent with the preservation of capital and the maintenance of liquidity. Goldman Sachs Asset Management, headquartered in New York, manages the fund.",Goldman Sachs Trust,NAS
GCTXX,Goldman Sachs Financial Square Treasury Obligations Fund,USD,"Goldman Sachs Financial Square Treasury Obligations Fund invests primarily in U.S. Treasury securities and repurchase agreements collateralized by U.S. Treasury securities. The fund aims to provide current income while maintaining liquidity and preserving capital. Goldman Sachs Asset Management, located in New York, manages the fund.",Goldman Sachs Trust,NAS
GCUXX,"BOFA FDS SRS TR, BOFA  CT MUNIC",USD,,,NAS
GCXXX,Goldman Sachs Investor Tax-Exempt Money Market Fund,USD,"Goldman Sachs Investor Tax-Exempt Money Market Fund seeks to provide current income exempt from federal income taxes, consistent with preservation of capital and liquidity. The fund invests primarily in municipal securities. Goldman Sachs Asset Management, headquartered in New York, manages the fund.",Goldman Sachs Trust,NAS
GFAXX,Government Fund,USD,"Government Fund invests primarily in securities issued or guaranteed by the U.S. government and its agencies, as well as repurchase agreements backed by these securities. The fund's objective is to provide current income consistent with the preservation of capital and the maintenance of liquidity. The specific management firm and location details require further context.",SEI Daily Income Trust,NAS
GFCXX,Goldman Sachs Financial Square Federal Fund,USD,"Goldman Sachs Financial Square Federal Fund invests primarily in securities issued or guaranteed by the U.S. government or its agencies and instrumentalities, and repurchase agreements secured by such securities. The fund seeks to maximize current income to the extent consistent with the preservation of capital and the maintenance of liquidity. Goldman Sachs Asset Management, based in New York City, manages the fund.",Goldman Sachs Trust,NAS
GFOXX,Goldman Sachs Financial Square Prime Obligations Fund,USD,"Goldman Sachs Financial Square Prime Obligations Fund invests primarily in U.S. dollar-denominated obligations of domestic and foreign banks and corporations. The fund seeks to maximize current income to the extent consistent with the preservation of capital and the maintenance of liquidity. Goldman Sachs Asset Management, headquartered in New York, manages the fund.",Goldman Sachs Trust,NAS
